idAusgabe,Nachweis,Typ,Datierung,DatierungVon,DatierungBis
1001,G 450,Ausgabe,1507,1507,1507
1003,1505/1,Ausgabe,1505,1505,1505
1005,A 431,Ausgabe,1504,1504,1504
1006,Heyden 1537,Musiktheorie,1537,1537,1537
1007,B 4643,Ausgabe,1503,1503,1503
1008,L 718,Ausgabe,1503,1503,1503
1009,I 88,Ausgabe,1506,1506,1506
1010,1504/2,Ausgabe,1504,1504,1504
1011,[c.1535]/14,Ausgabe,1535,1535,1535
1012,1538/9,Ausgabe,1538,1538,1538
1013,1507/5 oder 1507/6,Tabulatur,1507,1507,1507
1014,1536/12,Tabulatur,1536,1536,1536
1015,1562/24,Tabulatur,,,
1017,1509/1,Ausgabe,1508,1508,1508
1018,1522,Ausgabe,1522,1522,1522
1019,1516/1,Ausgabe,1516,1516,1516
1020,O 7,Ausgabe,1503,1503,1503
1022,Heyden 1540,Musiktheorie,1540,1540,1540
1027,1547/1,Musiktheorie,1547,1547,1547
1028,Erotemata 1563,Musiktheorie,1563,1563,1563
1030,1539/1,Ausgabe,1539,1539,1539
1033,J 673 (J 674),Ausgabe,1514,1514,1514
1035,J 671,Ausgabe,1515,1515,1515
1039,J 668 (J 667),Ausgabe,1516,1516,1516
1040,J 670,Ausgabe,1505,1505,1505
1041,J 666,Ausgabe,1502,1502,1502
1042,J 669,Ausgabe,1526,1526,1526
1043,J 672,Ausgabe,1526,1526,1526
1044,J 675,Ausgabe,1526,1526,1526
1046,1543/19,Ausgabe,1543,1543,1543
1047,1553/26,Ausgabe,1553,1553,1553
1048,1545/6,Ausgabe,1545,1545,1545
1049,1545/7,Ausgabe,1545,1545,1545
1050,1552/29,Tabulatur,1552,1552,1552
1051,1552/35,Tabulatur,1552,1552,1552
1052,Vaena 1540,Tabulatur,1540,1540,1540
1053,1547/25,Tabulatur,1547,1547,1547
1054,1503/1,Ausgabe,1503,1503,1503
1055,1508/3,Ausgabe,1508,1508,1508
1057,1554/32,Tabulatur,1554,1554,1554
1058,Mudarra 1546/14 (Brown) & 1546/34,Tabulatur,1546,1546,1546
1059,1538/22,Tabulatur,1538,1538,1538
1060,Zanger 1554,Musiktheorie,1554,1554,1554
1061,1549/16,Ausgabe,1549,1549,1549
1062,1590/30,Ausgabe,1590,1590,1590
1063,1594/3,Ausgabe,1594,1594,1594
1064,1583/22,Tabulatur,1583,1583,1583
1065,1578/24,Tabulatur,1578,1578,1578
1066,Heckel 1556/34,Tabulatur,1556,1556,1556
1067,1536/13,Tabulatur,1536,1536,1536
1068,1558/20,Tabulatur,1558,1558,1558
1069,Venegas 1557/2 (Brown),Tabulatur,1557,1557,1557
1071,1539/2,Ausgabe,1539,1539,1539
1073,[1506] Nr. 30 (Boorman),Ausgabe,1506,1506,1506
1074,J 677,Ausgabe,1559,1559,1559
1075,"Faber, NÃ¼rnberg 1550",Musiktheorie,1550,1550,1550
1076,"Gallus Dreslerus Nebraeus, Magdeburg 1571",Musiktheorie,1571,1571,1571
1078,"Tinctoris, Prop. Mus.",Musiktheorie,1472,1472,1472
1079,"Tinctoris, Lib. Con.",Musiktheorie,1477,1477,1477
1081,Finck 1556,Musiktheorie,1556,1556,1556
1082,1501,Ausgabe,1501,1501,1501
1083,1515/1 & F 689,Ausgabe,1515,1515,1515
1084,O 137,Ausgabe,1505,1505,1505
